long_description,label
created attachment dmesg log following test failing gem mmap swap causing page allocation failure reproduce steps install igt tools execute sudo gem mmap run subtest expected results test pass actual result fail output igt version linux drm tip commit gem mmap ioctl wrappers critical test assertion failure function gem set domain file ioctl wrappers gem mmap ioctl wrappers critical failed assertion gem set domain handle read write gem mmap ioctl wrappers critical last errno cannot allocate memory gem mmap ioctl wrappers critical error stack trace igt fail assert gem set domain test huge real main main libc start main start subtest swap failed debug gem mmap intel debug checking surfaces size bytes total ram swap gem mmap drmtest debug test requirement passed gem mmap igt debugfs debug opening debugfs directory sys kernel debug dri gem mmap intel debug test requirement passed intel check memory count size mode required total gem mmap igt core debug test requirement passed igt run simulation gem mmap debug test requirement passed ptr cpu gem mmap ioctl wrappers critical test assertion failure function gem set domain file ioctl wrappers gem mmap ioctl wrappers critical failed assertion gem set domain handle read write gem mmap ioctl wrappers critical last errno cannot allocate memory gem mmap ioctl wrappers critical error end subtest swap fail configuration kernel version commit component drm url http cgit freedesktop org mesa drm tag libdrm commit author emil velikov age mon apr hours ago comment configure bring back pthread stubs check component mesa url http cgit freedesktop org mesa mesa tag branchpoint commit author jason ekstrand age mon apr minutes ago comment intel vec add fall comments component video intel url http cgit freedesktop org xorg driver video intel tag gcb commit author chris wilson age sat mar days ago component libva url http cgit freedesktop org libva tag libva pre gefc commit efc author xiang haihao age tue mar weeks ago comment bump libva pre development component intel driver url http cgit freedesktop org vaapi intel driver tag cbe commit cbe author ctor manuel quez leal age wed mar days ago comment gen accept valid format component cairo url http cgit freedesktop org cairo tag gcffa commit cffa author debarshi ray age wed mar weeks ago comment doc clarify device scale inherited component xserver url http cgit freedesktop org xorg xserver tag xorg server commit author adam jackson age thu mar days ago comment xfree remove driver entity hooks private component macros url https cgit freedesktop org xorg util macros tag util macros commit author emil velikov age mon feb weeks ago comment rework install cmd touch echo needed component intel gpu tools url https cgit freedesktop org xorg app intel gpu tools tag intel gpu tools commit author chris wilson age mon apr hours ago comment tests gem media fill fixup typo component piglit url https cgit freedesktop org piglit tag piglit commit cbd author vinson lee age mon apr hours ago comment glslparsertest add test case fdo bug,1
month ago could switch laptops native resolution gpu panel would scaling recently longer possible edid contains native resolution log longer mentions checking modes builtin modepool lower resolutions quite useful games videos danny,1
need version picker get list always new version uploaded mirrors reminder responsible one,0
created attachment add accessor return dbusgconnection dbusgmethodinvocation invoked networkmanager adding support private bus socket used early boot environments without bus daemon running means setting dbusserver object private socket making dbus glib aware connections appear socket since authentication paths depend dbusgconnection method invocation comes private socket accepts connections root since messages private socket sender addresses need figure dbusgconnection dbusginvocation associated short circuit authentication checks always allow connections private socket unfortunately get dbusgconnection without something like dbusgconnection gconn dbusgconnection context complete hack like formalize since seems useful,1
styles multiple selection delete possible looked new libreoffice writer noticed multiple delete style possible feature added according bug report https bugs freedesktop org show bug cgi looking solution see solution little bit strange bugy format styles formatting click page style button button page style less styles listed easier demonstrate right click somewhere window new organizer tab style name field type test click button repeat step name test style list click test press ctrl hold click test right click delete result two styles deleted new feature deleting multiple styles works fine repeat steps right click hide observe see test hidden test still displayed strange design point view bottom drop list select hidden styles test listed prove first style marked hidden hide work multiple selections problem modify step select modify problem show hiding test test one one drop selection hidden styles select test test right click show first test style gets removed hidden styles humble opinion solved like modify multiple selection done right menu modify option grayed modify two styles option logical hide show implement solution hide show multiple styles tested libreoffice ubuntu using ppa libreoffice ppa,1
game sometimes rendering trees multiple tree mesh models tree gets close game switching different lods models rendering models overlapping grid pixels checkerboard pixels old lod black fields new one white long using single sampled buffers render targets fine however higher quality modes game switches multisampled buffers using multisampled buffers atoc turned settings game using alpha coverage technique without polygon sorting make sure grass rendered correctly time using depth test depth write fill depth buffer execution fragment shader sets output color alpha value depth buffer value expects alpha value cause color value end samples multisampled texture important bit depth value end corresponding samples depth buffer technique works windows drivers mac nvidia drivers linux mesa radeonsi drivers linux makes rendering bad rendering tree pixels white lod transition ends white visible screen initial color multisampled render target reason color allowed leak means cases depth buffer value set corresponding color buffer value depth color buffer number samples created fixedsamples true opengl call looks depth buffer values case mesa radeonsi driver correctly written depth test fails fragment shader correctly written samples depth buffer alpha coverage directs draw fill incorrectly assigned samples alpha coverage directed fragment output color either samples depth buffer samples depth buffer correspond samples color attachment buffer encountered issue fglrx drivers contacted amd team received confirmation bug fixed unfortunately shortly fglrx drivers went use issue easily reproduced arma launching arma game switching high quality higher turn multisampled buffers enabling atoc alpha coverage video settings making sure enabled launching first level drawdown campaign starting new campaign bypassing optional tutorial observing main character walks base bushes flicker white time time get closer issue present mesa devel padoka ppa least radeon,1
created attachment intel reg dump kernel source git anongit freedesktop org drm intel branch drm intel nightly commit fff drm intel nightly utc integration manifest linux distribution name ubuntu version lts xenial xerus ubuntu like debian ubuntu codename xenial machine information opengl renderer string mesa dri intel iris pro graphics skylake vga compatible controller intel corporation device rev display connector connected primary reproduce steps get xonotic phoronix test suite using command vblank mode xonotic linux glx nohome benchmark demos big keybench glsl vid width vid height exec effects ultimate cfg xonotic linux glx nohome benchmark demos big keybench glsl vid width vid height exec effects ultimate cfg result application report intel flush locked failed input output error dmesg drm stuck render ring drm gpu hang ecode dffffb xonotic linux reason engine hung action reset drm gpu hangs indicate bug anywhere entire gfx stack including userspace drm please file new bug report bugs freedesktop org dri drm intel drm drm developers reassign right component kernel issue drm gpu crash dump required analyze gpu hangs please always attach drm gpu crash dump saved sys class drm card error drm resetting chip gpu hang drm guc firmware load failed drm drm stuck render ring drm gpu hang ecode xfffffffe xonotic linux reason engine hung action reset drm resetting chip gpu hang drm guc firmware load failed drm var log xorg log org server release date protocol version revision build operating system linux generic ubuntu current operating system linux igvtperf efi smp wed may cst kernel command line boot image boot vmlinuz root uuid quiet splash consoleblank net ifnames biosdevname handoff build date april xorg server ubuntu technical support please see http www ubuntu com support current version pixman reporting problems check http wiki org make sure latest version markers probed config file default setting command line notice informational warning error implemented unknown log file var log xorg log time wed may using system config directory usr share xorg conf layout section using first screen section screen section available using defaults screen default screen section monitor monitor specified screen default screen section using default monitor configuration automatically adding devices automatically enabling devices automatically adding gpu devices max clients allowed resource mask fffff directory usr share fonts cyrillic exist entry deleted font path directory usr share fonts dpi exist entry deleted font path directory usr share fonts dpi exist entry deleted font path directory usr share fonts dpi exist entry deleted font path directory usr share fonts dpi exist entry deleted font path fontpath set usr share fonts misc usr share fonts type built ins modulepath set usr lib linux gnu xorg extra modules usr lib xorg extra modules usr lib xorg modules server relies udev provide list input devices devices become available reconfigure udev disable autoadddevices loader magic eda module abi versions org ansi emulation org video driver org xinput driver org server extension using number systemd logind logind integration requires keeptty keeptty provided disabling logind integration xfree adding drm device dev dri card pci rev mem bios loadmodule glx loading usr lib xorg modules extensions libglx module glx vendor org foundation compiled module version abi class org server extension version aiglx enabled matched intel autoconfigured driver matched intel autoconfigured driver matched modesetting autoconfigured driver matched fbdev autoconfigured driver matched vesa autoconfigured driver assigned driver configlayout loadmodule intel loading usr lib xorg modules drivers intel drv module intel vendor org foundation compiled module version module class org video driver abi class org video driver version loadmodule modesetting loading usr lib xorg modules drivers modesetting drv module modesetting vendor org foundation compiled module version module class org video driver abi class org video driver version loadmodule fbdev loading usr lib xorg modules drivers fbdev drv module fbdev vendor org foundation compiled module version module class org video driver abi class org video driver version loadmodule vesa loading usr lib xorg modules drivers vesa drv module vesa vendor org foundation compiled module version module class org video driver abi class org video driver version intel driver intel integrated graphics chipsets gme pineview pineview gme gle series intel driver intel graphics intel driver intel iris graphics intel driver intel iris pro graphics modesetting driver modesetting kernel drivers kms fbdev driver framebuffer fbdev vesa driver vesa chipsets vesa intel using kernel mode setting driver version intel sna compiled xserver xorg video intel git ubuntu timo aaltonen intel sna compiled use valgrind falling back old probe method modesetting falling back old probe method fbdev loading sub module fbdevhw loadmodule fbdevhw loading usr lib xorg modules libfbdevhw module fbdevhw vendor org foundation compiled module version abi class org video driver version falling back old probe method vesa intel gen engineering sample intel cpu sse sse ssse sse sse avx avx using maximum threads intel creating default display subsection screen section default screen section depth fbbpp intel depth framebuffer bpp intel rgb weight intel default visual truecolor intel output monitor section intel enabled output intel output hdmi monitor section intel enabled output hdmi intel output hdmi monitor section intel enabled output hdmi intel output monitor section intel enabled output intel output hdmi monitor section intel enabled output hdmi intel using maximum size hardware cursors intel output virtual monitor section intel enabled output virtual intel output using initial mode pipe intel tearfree disabled intel dpi set loading sub module dri loadmodule dri module dri already built loading sub module present loadmodule present module present already built unloadmodule modesetting unloading modesetting unloadmodule fbdev unloading fbdev unloadsubmodule fbdevhw unloading fbdevhw unloadmodule vesa unloading vesa depth pixmap format bpp intel sna initialized generic backend intel backing store enabled intel silken mouse enabled intel cursor enabled intel randr enabled ignore following randr disabled message intel dpms enabled intel display hotplug detection enabled intel textured video supported hardware backend intel dri setup complete intel dri dri driver intel dri vdpau driver intel direct rendering dri enabled intel hardware support present enabled randr disabled selinux disabled system aiglx enabled glx mesa copy sub buffer aiglx enabled glx arb create context aiglx enabled glx arb create context profile aiglx enabled glx ext create context profile aiglx enabled glx intel swap event aiglx enabled glx sgi swap control glx mesa swap control aiglx enabled glx ext framebuffer srgb aiglx enabled glx arb fbconfig float aiglx enabled glx ext fbconfig packed float aiglx glx ext texture pixmap backed buffer objects aiglx enabled glx arb create context robustness aiglx loaded initialized glx initialized dri provider screen intel switch mode using pipe position rotation normal reflection none intel setting screen physical size config udev adding input device power button dev input event power button applying inputclass evdev keyboard catchall loadmodule evdev loading usr lib xorg modules input evdev drv module evdev vendor org foundation compiled module version module class org xinput driver abi class org xinput driver version using input driver evdev power button power button always reports core events evdev power button device dev input event evdev power button vendor product evdev power button found keys evdev power button configuring keyboard option config info udev sys devices lnxsystm lnxpwrbn input input event xinput adding extended input device power button type keyboard option xkb rules evdev option xkb model option xkb layout config udev adding input device video bus dev input event video bus applying inputclass evdev keyboard catchall using input driver evdev video bus video bus always reports core events evdev video bus device dev input event evdev video bus vendor product evdev video bus found keys evdev video bus configuring keyboard option config info udev sys devices lnxsystm lnxsybus pnp lnxvideo input input event xinput adding extended input device video bus type keyboard option xkb rules evdev option xkb model option xkb layout config udev adding input device lid switch dev input event input driver specified ignoring device device may added another device file config udev adding input device power button dev input event power button applying inputclass evdev keyboard catchall using input driver evdev power button power button always reports core events evdev power button device dev input event evdev power button vendor product evdev power button found keys evdev power button configuring keyboard option config info udev sys devices lnxsystm lnxsybus pnp input input event xinput adding extended input device power button type keyboard option xkb rules evdev option xkb model option xkb layout config udev adding input device sleep button dev input event sleep button applying inputclass evdev keyboard catchall using input driver evdev sleep button sleep button always reports core events evdev sleep button device dev input event evdev sleep button vendor product evdev sleep button found keys evdev sleep button configuring keyboard option config info udev sys devices lnxsystm lnxsybus pnp input input event xinput adding extended input device sleep button type keyboard option xkb rules evdev option xkb model option xkb layout config udev adding input device lite technology corp basic usb keyboard dev input event lite technology corp basic usb keyboard applying inputclass evdev keyboard catchall using input driver evdev lite technology corp basic usb keyboard lite technology corp basic usb keyboard always reports core events evdev lite technology corp basic usb keyboard device dev input event evdev lite technology corp basic usb keyboard vendor product evdev lite technology corp basic usb keyboard found keys evdev lite technology corp basic usb keyboard configuring keyboard option config info udev sys devices pci usb input input event xinput adding extended input device lite technology corp basic usb keyboard type keyboard option xkb rules evdev option xkb model option xkb layout config udev adding input device hid dev input event hid applying inputclass evdev pointer catchall using input driver evdev hid hid always reports core events evdev hid device dev input event evdev hid vendor product evdev hid found mouse buttons evdev hid found scroll wheel evdev hid found relative axes evdev hid found relative axes evdev hid configuring mouse evdev hid adding scrollwheel support evdev hid yaxismapping buttons evdev hid emulatewheelbutton emulatewheelinertia emulatewheeltimeout option config info udev sys devices pci usb input input event xinput adding extended input device hid type mouse evdev hid initialized relative axes hid accel keeping acceleration scheme hid accel acceleration profile hid accel acceleration factor hid accel acceleration threshold config udev adding input device hid dev input mouse input driver specified ignoring device device may added another device file config udev adding input device translated set keyboard dev input event translated set keyboard applying inputclass evdev keyboard catchall using input driver evdev translated set keyboard translated set keyboard always reports core events evdev translated set keyboard device dev input event evdev translated set keyboard vendor product evdev translated set keyboard found keys evdev translated set keyboard configuring keyboard option config info udev sys devices platform serio input input event xinput adding extended input device translated set keyboard type keyboard option xkb rules evdev option xkb model option xkb layout aiglx suspending aiglx clients switch aiglx resuming aiglx clients switch intel switch mode using pipe position rotation normal reflection none,1
uscore wincaps check input parameters uscore appears null cases uscore wincaps uscore dbus gobject gerror dbus error message object info variable object info available dbus gobject gobject message function connection message user data dbus gobject dbus object tree dispatch unlock tree message dbus object tree dbus connection dispatch connection dbus connection message queue dispatch source callback user data dbus gmain ffd main context dispatch context gmain main context iterate context block dispatch self gmain main loop run loop gmain sniffer dbus main dbus wireshark dbus sniffer fcc main argc cannot access memory address function declaration trigger crash annotation name org freedesktop dbus glib csymbol value sniffer get,1
main page clicking bugzilla user guide results requested url docs html using html found server,0
sometimes locks start kills radeon chip bios post code needed get panel running respond keyboard also consumes cpu user space log full radeon idle timed resetting engine,1
initial nsis wrapper branded correctly broffice internal msi file continues libreoffice artwork branding string branding broffice work required unwind quite brand msi file per locale,0
lot core mesa files clip block comment start mesa graphics library version copyright brian paul rights reserved permission hereby granted free charge person obtaining version line removed since serves purpose,0
created attachment glsl max varyings png mesa bcb fcd master piglit glsl max varyings fails softpipe passes branches mesa mesa aaf afa mesa bac bin glsl max varyings auto vertical axis increasing numbers varyings horizontal axis varyings contains color max varying floats probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index probe expected observed failure vec varyings used varying index piglit result fail,1
created attachment patch fix bug snippet already attempting create var lib dbus machine would fail volatile stateless systems var lib dbus already exists patch correct attached,0
created attachment ssh pub would like help development drivers name andre maasikas email amaasikas gmail com preferred account andrem,0
piglit max array regressed softpipe llvmpipe mesa bcb fcd master fail mesa fail mesa aaf afa pass mesa bac pass bin max array auto mesa user error invalid operation glprogramstringarb invalid local parameter reference mesa user error invalid operation glprogramstring bad program compiler error pos line line char error invalid local parameter reference ram local program arbvp option arb position invariant param colors program local mov result color colors end piglit result fail,0
console switching colour dummy device igt drv selftest executing drm intel disable pipe disabling pipe drm get fifo size fifo size drm get fifo size fifo size drm update fifo watermarks drm update setting fifo watermarks drm intel atomic commit tail encoder crt drm intel atomic commit tail encoder sdvo drm verify connector state isra connector vga drm intel atomic commit tail crtc pipe igt drv selftest starting subtest live sanitycheck setting dangerous option live selftests tainting kernel drm driver load pch found drm driver load wopcm size kib drm intel init early enable guc submission huc drm intel init early guc log level enabled verbose verbosity drm intel power domains init allowed state mask drm display disabled module parameter pci intel chipset pci detected gtt size total mappable pci detected stolen memory drm ggtt probe ggtt size drm ggtt probe gmadr size drm ggtt probe dsm size drm replacing vga console driver drm gem init stolen memory reserved graphics device usable drm intel gvt init gvt disabled kernel params drm intel opregion setup graphic opregion physical addr drm intel opregion setup acpi opregion supported drm intel bios init skipping vbt init due disabled display drm intel power well enable enabling always drm irq handler eir stuck masked drm intel fbc init sanitized enable fbc value drm intel modeset init display pipe available drm intel dump cdclk state current cdclk khz vco khz ref khz bypass khz voltage level drm intel update max cdclk max clock rate khz drm intel modeset init max dotclock rate khz drm gem init ggtt clearing unused gtt space bug unable handle kernel null pointer dereference pgd oops preempt smp pti cpu pid comm drv selftest tainted repeat hardware name dell inc optiplex bios rip gem init ggtt xef code rsp ffffa eflags rax rbx ffff rcx ffffffffc rdx ffffa fffc rsi ffff rdi rbp bcc ffff ffff ffff ffff knlgs call trace gem init driver load raw spin unlock irqrestore lockdep hardirqs pci probe pci device probe really probe driver probe device driver attach xdb driver probe device driver probe device bus dev bus add driver xffffffffc driver register xffffffffc one initcall init module rcu read lock sched held kmem cache alloc trace init module load module sys finit module sys finit module syscall entry syscall hwframe xbe rip code rsp fff eflags orig rax rax ffffffffffffffda rbx rcx rdx rsi rdi rbp fff modules linked amdgpu chash gpu sched ttm snd hda codec snd hwdep snd hda core snd pcm vgem lpc ich prime numbers last unloaded console switching colour dummy device igt drv selftest executing drm intel disable pipe disabling pipe drm get fifo size fifo size drm get fifo size fifo size drm update fifo watermarks drm update setting fifo watermarks drm intel atomic commit tail encoder crt drm intel atomic commit tail encoder sdvo drm verify connector state isra connector vga drm intel atomic commit tail crtc pipe igt drv selftest starting subtest live sanitycheck setting dangerous option live selftests tainting kernel drm driver load pch found drm driver load wopcm size kib drm intel init early enable guc submission huc drm intel init early guc log level enabled verbose verbosity drm intel power domains init allowed state mask drm display disabled module parameter pci intel chipset pci detected gtt size total mappable pci detected stolen memory drm ggtt probe ggtt size drm ggtt probe gmadr size drm ggtt probe dsm size drm replacing vga console driver drm gem init stolen memory reserved graphics device usable drm intel gvt init gvt disabled kernel params drm intel opregion setup graphic opregion physical addr drm intel opregion setup acpi opregion supported drm intel bios init skipping vbt init due disabled display drm intel power well enable enabling always drm irq handler eir stuck masked drm intel fbc init sanitized enable fbc value drm intel modeset init display pipe available drm intel dump cdclk state current cdclk khz vco khz ref khz bypass khz voltage level drm intel update max cdclk max clock rate khz drm intel modeset init max dotclock rate khz drm gem init ggtt clearing unused gtt space bug unable handle kernel paging request ffffffff fdd pgd pud pmd oops preempt smp pti cpu pid comm drv selftest tainted repeat hardware name dell inc optiplex bios rip intel ctx workarounds init code rsp ffffac eflags rax rbx ffffa rcx ffffffffc rdx ffffac ffffc rsi ffff rdi ffffa rbp ffffa bdc ffffa ffffa ffffa ffffa knlgs ffffffff fdd call trace gem contexts init gem init driver load raw spin unlock irqrestore lockdep hardirqs pci probe pci device probe really probe driver probe device driver attach xdb driver probe device driver probe device bus dev bus add driver xffffffffc driver register xffffffffc one initcall init module rcu read lock sched held kmem cache alloc trace init module load module sys finit module sys finit module syscall entry syscall hwframe xbe rip deb code rsp ffd eflags orig rax rax ffffffffffffffda rbx fbc rcx deb rdx rsi fbc rdi rbp fbc ffd fbc modules linked amdgpu chash gpu sched ttm snd hda codec snd hwdep snd hda core snd pcm vgem lpc ich prime numbers last unloaded,0
created attachment gnome shell gdb output testing gnome shell git clutter mutter etc git initially got crashing https bugs freedesktop org show bug cgi updated latest xorg mesa ubuntu xorg edgers ppa mesa git fixes crashing mouse events mostly work produce warnings like mutter clutter warning required refer existing actor usually implies pick actor correctly implemented error glreadpixels implementation driver clutter bug issue https bugs freedesktop org show bug cgi,0
