long_description,label
user agent mozilla macintosh ppc mac mach gecko firefox build identifier mozilla macintosh ppc mac mach gecko firefox web server happens serve files ending xml text xml xhtml may served xml although recommended deer park alpha decides parse text xml documents xhtml doctype xhtml display xml process unrolls internal xml document end result document way covered mpl gpl lgpl shown xml parse tree mpl gpl block supposed technically allowable treat xml served xhtml plain old style less xml however case combined internal gpl documents alternatively could displayed rendered properly xhtml would preferable required see http www org xhtml media types text xml representing non gpl document gpl document potential legal liability really ought fixed altough come much practice reproducible always steps reproduce view http www andrew cmu edu user bmills test xml actual results xml parse tree shown including several spurious comments mpl gpl comments actual document expected results either correctly render xhtml xhtml display correct xml parse tree without spurious comments,0
need fully document developers guide things decided templates include extensions believe correct guide already basename nameing conventions verb object use process include etc use filters uri html url quote etc everything else fixed recently please summarise needs done,0
using buildid steps reproduce url select view page info select privacy tab click summary button expect results privacy policy viewer opens non transparent menu status bars actual results privacy policy viewer opens transparent menu status bars click links menus appear transparent parts privacy policy window actually operate links menus error messages show console,0
user agent build identifier mozilla macintosh ppc mac mach gecko mozilla honour long date time format defined test case tried set date format one used country screenshot used french modifications version reproducible always steps reproduce open system prefs choose international change date format french example assuming default locale french change time format french well one page info mozilla actual results one sees wrong format long date page info example expected results one sees right format long date page info example,1
doe patch index dom src base domerr msg rcs file cvsroot mozilla dom src base domerr msgv retrieving revision diff domerr msg dom src base domerr msg sep dom src base domerr msg sep dom msg def error aggregation component doe support aggregation dom msg def error aggregation component support aggregation,0
user agent mozilla linux gecko mozilla firebird build identifier mozilla linux gecko mozilla firebird trying compile static mozfirebird cvs redhat way create mozconfig export cvsroot pserver anonymous cvs mirror mozilla org cvsroot cvs mozilla client mozilla make client checkout make client build mozconfig export moz phoenix add options moz phoenix add options enable static add options disable shared add options prefix opt mozillafirebird add options enable crypto add options disable tests add options disable debug add options disable mailnews add options disable composer add options disable ldap add options enable optimize march pipe fomit frame pointer add options enable default toolkit gtk add options enable extensions default inspector irc venkman content packs help add options enable plaintext editor add options enable strip add options enable strip libs add options enable xft add options system zlib add options system jpeg add options system png got error mozillafirebird bin march pipe fomit frame pointer usr include fno rtti fno exceptions wall wconversion wpointer arith wcast align woverloaded virtual wsynth wno ctor dtor privacy pedantic wno long long fshort wchar pthread pipe dndebug dtrimmed march pipe fomit frame pointer nsbrowserapp nsstaticcomponents dist bin dist lib dist lib components lxpcom compat lxpconnect luconv lucvmath loji lipcdc lnecko lnecko lpref lcaps lrdf lhtmlpars lgfxps lgfxxprint lgfx gtk limglib lgkplugin ljsdom lwidget gtk lxremote client lgklayout lmork ldocshell lprofile lnsprefm lembedcomponents lwebbrwsr leditor ltxmgr lnsappshell lchrome laccessibility lfileview lmozfind lxremoteservice lappcomps ltoolkitcomps lcookie lwallet lwalletviewers lxmlextras lautoconfig lsystem pref ltransformiix luniversalchardet ltypeaheadfind lwebsrvcs lpipboot lpipnss lpippki lbrowsercomps lunicharutil lucvutil ljsj lgtkxtbin lgfxshared lgfxft lxlibrgb lxprintutil lgkgfx lxulapp dist lib libxulapp dist bin lmozjs dist bin lxpcom home acrozy mozilla dist lib lplds lplc lnspr lpthread ldl export dynamic lgtk lgdk latk lgdk pixbuf lpangoxft lpangox lpango lgobject lgmodule ldl lglib ldl dist lib components lpng ljpeg dist bin dist lib dist lib libcrmf lsmime lssl lnss lsoftokn usr lib lxt usr lib lxp lxext dist lib lxpcom compat nsstaticcomponents text function nssystemprefmodule nsgetmodule undefined reference nssystemprefmodule gmoduleinfo enable static disable shared removed successfully finish compiling reproducible always steps reproduce,1
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox bookmarks sidebar context menu items disabled loading bookmark backround sidebar reproducible always steps reproduce set browser tabs loadbookmarksinbackground true bookmark loaded backround opened new tab open bookmarks sidebar open bookmark new tab open context menu bookmark except one loaded actual results menu items items context menu disabled remain disabled bookmarks bookmarks sidebar loose focus step open context menu bookmark loaded step menu items initially disabled,1
assigning ryan hope got three prefs mail biff play sound mail biff use default sound mail biff sound file first currently reflected let attach screen shot ryan working tree,1
created attachment patch allow using listheader richlishbox would like keep simple multiple headers sort support etc,0
seen testcase document folders disabled use disabled bookmark icon instead disabled folder icon win,1
created attachment patch spun bug comment quick win packages instead blocking bug ted says maybe take patch xpt linking done platforms except understand purpose perf dtracing bears wrote script captures time spent syscalls startup single linked xpt time spent calls cold startup drops order magnitude nearly caveat see conclusive matching drop wall clock time sure yet data shows time spent xpt cold startup associated syscalls numbers durations hope hard read bugzilla without xpt linking adw tinkerbell startup dtrace syscalls data minefield app package xpt users adw startup dist minefield app contents macos components xpcom system xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components pref xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components dom range xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components xpcom threads xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components dom traversal xpt close nocancellstatopen nocancelread nocancelstat snip users adw startup dist minefield app contents macos components satchel xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components fuel xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components downloads xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components intl xpt close nocancellstatopen nocancelread nocancelstat users adw startup dist minefield app contents macos components toolkitsearch xpt close nocancellstatopen nocancelread nocancelstat total xpt linking durations syscall invocation also shown adw tinkerbell startup dtrace syscalls data minefield firefox xpt app package xpt users adw startup dist minefield firefox xpt app contents macos components firefox xpt close nocancellstatopen nocancelread nocancelstat lstat close nocancel stat open nocancel read nocancel total part work logging https wiki mozilla org firefox projects startup time improvements adw notes,0
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox bad accesskey reporter first window wizard button submit report reproducible always steps reproduce choose help report broken web site bad accesskey see attachment,1
please tag following inproduct pages production thunderbird release execute commit added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird releasenotes added thunderbird releasenotes index html added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png added thunderbird added thunderbird start added thunderbird start index html added thunderbird start thunderbird startpage png committed revision updating ready,0
started discussion bug whether enable default pruning junk tokens thunderbird capability added bug bug continues discussion proposes token limit preference set default relatively large value affect vast majority users relevant preference defined bug mailnews bayesian spam filter junk maxtokens,0
created attachment screenshot png translated string parenthesis menu also needs lrm rlm marking fixed,1
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox site suspected phishing click get leave homepage contains tabs mine http slashdot org http digg com attempt navigate site going nonexistent slashdot directory http digg com instead opening tabs reproducible always steps reproduce make sure homepage multi tab like http slashdot org http digg com suspected phishing site google test site click get option actual results attempted navigate http slashdot org http digg com slashdot digg separate tabs like expected results opened tabs one digg one slashdot,1
moz border radius rounds borders except use moz border colors case bevels,1
created attachment patch searching eula tree shows number results related anti phishing code poking around find place code eula actually shown looks like bug removed code invoked eula display switching safebrowsing providers type found looking remaining post bug cleanup,1
cannot input japanese byte character browser input field possible input japanese byte character url field though problem occurs omniweb,0
composition window options security encrypt message encrypt message digitally sign message see encryptiion two entries signing one adds checkmark chosen mime confusing enough see would two menu items one thing encryption one like signing,1
created collections wanted transfer ownership account added account manager logged account saw attached screen still referring original owner seems email address one listed editing permissions always currently logged user list people permissions everyone except,0
right click search bar last option show recommendations however english hebrew version access key instead hebrew access key,1
yeah one shit bugs fix assert error exception component returned failure code error failure nsixmlhttprequest send nsresult error failure location frame file users dougt builds temp obj dist shiretokodebug app contents macos components networkgeolocationprovider anonymous line data source file file users dougt builds temp obj dist shiretokodebug app contents macos components networkgeolocationprovider line,1
user agent build identifier mozilla windows windows gecko firefox scragz see also see url comments reproducible always steps reproduce search something google return google homepage type first letters previous search try click autocomplete result comes left mouse button actual results autocomplete entry using muose using keyboard produces error console error uncaught exception exception cannot modify properties wrappednative nsresult error xpc cant modify prop location frame chrome global content bindings autocomplete xml onpopupclick line data expected results autocomplete entry,0
turns gcc least pruint pruint alength buff char abuffer slower something like const prunichar buffer abuffer end buffer alength buffer end buff char buffer matters long strings passed createtextnode like dromaeo tests say,0
mail app find outlook express address book try import address book default directory user keep address book mail directory far away drive possible place tell mozilla look address book never found open export csv file import mozilla,1
webdotbase set local executable bugzilla greate client side image map dependency graph would nice bugzilla output title attributes image maps bug summaries visible mouse would give nice compromise showing summaries gives decent size dependency graph much info showing summaries makes graph lot bigger,1
right show,0
found neat little trick essential com auto set mrefcnt probably make code little faster struct nsautorefcnt nsrefcnt mvalue nsautorefcnt mvalue operator mvalue operator mvalue operator print avalue return mvalue avalue operator print return mvalue change decl isupports declare nsautorefcnt instead nsrefcnt makes sure initialization happens happens constructor chain meaning smaller code size maybe even faster patch forthcoming,0
following code creates event target ends really want individual element makes particular color cell cdata iscolorcell acell resethover acell setattribute hover true mhovercell acell var event document createevent events event initevent dommenuitemactive false true acell dispatchevent event screwed sequence nseventstatemanager dispatchnewevent calls target handledomevent mprescontext innerevent aevent event flag init nsxulelement handledomevent subsequently runs following lines clear old event target nsidomevent domevent nsnull event flag init aflags adomevent eventually event bubbles retargeted never correct original target call handledomevent without event flag init everything works sure side effects freeing memory target set subsequently cleared reset,0
pretty small repositories great easily searchable,0
disable activex scripting flag two completely different things disables idispatch support xpconnect disables activex plugin activex plugin going shipped gecko want continue shipping xpconnect idispatch support separating configure flags,0
user agent mozilla windows windows gecko granparadiso build identifier mozilla windows windows gecko granparadiso long address location bar possible display two tooltips time one address drag drop icon tooltip reproducible always steps reproduce visit page long url roll mouse location bar move mouse page icon actual results tooltip page address displayed second tooltip displayed top first expected results one tooltip time please,1
user agent mozilla compatible msie windows build identifier mozilla windows windows gecko firefox viewing forum page mozilla firefox wrongly justifies marquee bit shuold left box size menu part camino works reproducible always steps reproduce visit www vwforum click forums menu actual results wrong layout page expected results display page correctly,1
user agent mozilla linux gecko firefox build identifier mozilla linux gecko firefox common uses getpass non win non solaris prompt password using option obsolescent interface supports character passwords reproducible always steps reproduce ldapsearch base uid testguydc exampledc com objectclass enter bind password testtesttest actual results ldap simple bind invalid credentials expected results ldap success,0
tryed compile firefox aviary branch recent source apple gcc tree ssa failed following file http lxr mozilla org aviarybranch source intl locale src mac nscollationmacuc cpp message got nscollationmacuc cpp nscollationmacuc dostype darwin dosarch darwin dist include xpcom dist include string dist include unicharutil dist include uconv dist include locale dist include volumes jaguar temp builds firefox aviary branch mozilla dist include nspr usr include mdynamic pic usr include fno rtti fno exceptions wall wconversion wpointer arith wcast align woverloaded virtual wsynth wno ctor dtor privacy wno non virtual dtor wno long long fpascal strings cpp precomp fno common fshort wchar developer headers flatcarbon pipe dndebug dtrimmed usr include dmozilla client include mozilla config deps nscollationmacuc nscollationmacuc cpp nscollationmacuc cpp destructor nscollationmacuc nscollationmacuc nscollationmacuc cpp warning unused variable err nscollationmacuc cpp member function virtual nsresult nscollationmacuc comparestring print constnsastring constnsastring print nscollationmacuc cpp error invalid conversion print sint nscollationmacuc cpp error initializing argument osstatus uccomparetext opaquecollatorref const unichar unicharcount const unichar unicharcount boolean sint nscollationmacuc cpp member function virtual nsresult nscollationmacuc comparerawsortkey const pruint pruint const pruint pruint print nscollationmacuc cpp error invalid conversion print sint nscollationmacuc cpp error initializing argument osstatus uccomparecollationkeys const uccollationvalue itemcount const uccollationvalue itemcount boolean sint make nscollationmacuc error make waiting unfinished jobs make libs error make libs error make libs error make tier error make default error make build error try trunk expect different result gcc everything works fine ccing people last changed lines question still matches database,1
provide way view delete orphan certs mozilla provide way look list certs mozilla nss storing user profile classified categories user people web sites sure whether want enable tab orphans default least helpful analysis bug shows,1
user agent mozilla windows windows gecko build identifier mozilla windows windows gecko checking email att net click logout get following error message missing template template logout failed html found please check location template reproducible always steps reproduce login view email attempt logout actual results checking email att net click logout get following error message missing template template logout failed html found please check location template expected results returned login screen compliments codewriters web pages www eastwind org print current version would print either mozilla release works fine,1
bugzilla helper user agent mozilla linux gecko buildid url mentioned rightmost column among others cell entries overlap rightmost frame border looks suboptimal sample screenshot incorrect rendering available http web mit edu kolya tmp mozilla table bug gif reproducible always steps reproduce load page look table actual results cell entries overlapped borders expected results entries confined cells allowed escape,1
reproduce http crash stats mozilla com select product firefox search cairo surface acquire dest image click url wait wait maybe get result minutes likely smaller product like seamonkey also happen still waiting minutes result,0
built lightning trunk setup zimbra caldav calendar asked credentials twice afaik entered correctly first time know fact real error message incorrect would good got reminders past events somehow bring reminders first load calendar istm hit dismiss button got warning error reading data calendar zimbra however error believed minor program attempt continue error code dav put error description error storing item server console times error dialog whose details button properly expand dialog happy provide data helps figure errors,1
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox whenever check updates extensions themes manually checkbox autocheck updates extensions themes automatically unchecked even though sometimes like check updates manually mean would like check manually time zip build mozilla windows windows gecko firefox reproducible always steps reproduce open dpa tools options advanced update check box labeled extensions themes click check button aforementioned checkbox click finish cancel buttons exit update window matter done checking notice extensions themes checkbox unchecked expected results autoupdate extensions themes checkbox remained checked perfectly,1
performance related bug also see bug bug,0
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows pre gecko thunderbird build problem compose new message reply forward message try use auto complete function freeze minute continue typing frustrating trying send recipients take ages shut restart problem goes away little ultimately always always replicable reproducible always steps reproduce either send new message reply forward windwo select bcc drop try type address manually tocc bcc box,1
open contacts sidebar compose window leave open ldap search close ldap connection compose window closes close close sidebar however fix upcoming closes ldap connection clears search input compose window closed compose window caching,0
clear browser cache visit benchmarks suite online occassionally get score richards thereafter consistently get mid shell always get maybe dom function calls falling trace something dist bin run richards deltablue crypto raytrace earleyboyer,0
user agent mozilla linux gecko firefox build identifier mozilla linux gecko firefox close editor used form tags real time spell checking work done thunderbird https bugzilla mozilla org show bug cgi pretty easy someone acomplished mozilla hacking get going firefox reproducible always steps reproduce expected results displayed web page spell check words user types perhaps tie attribute first extension optionally turn attribute,1
compiling nsmailmodule cpp latest trunk seeing users moztest mozilla mozilla mailnews build base util nsmsgdbfolder warning virtual nsresult nsmsgdbfolder deletesubfolders nsiarray nsimsgwindow hidden users moztest mozilla mozilla mailnews build imap src nsimapmailfolder warning virtual nsresult nsimapmailfolder deletesubfolders nsimutablearray nsimsgwindow users moztest mozilla mozilla mailnews build base util nsmsgdbfolder warning virtual nsresult nsmsgdbfolder downloadmessagesforoffline nsisupportsarray nsimsgwindow hidden users moztest mozilla mozilla mailnews build imap src nsimapmailfolder warning virtual nsresult nsimapmailfolder downloadmessagesforoffline nsiarray nsimsgwindow users moztest mozilla mozilla mailnews build base util nsmsgdbfolder warning virtual nsresult nsmsgdbfolder downloadmessagesforoffline nsisupportsarray nsimsgwindow hidden users moztest mozilla mozilla mailnews build local src nslocalmailfolder warning virtual nsresult nsmsglocalmailfolder downloadmessagesforoffline nsiarray nsimsgwindow users moztest mozilla mozilla mailnews build base util nsmsgdbfolder warning virtual nsresult nsmsgdbfolder downloadmessagesforoffline nsisupportsarray nsimsgwindow hidden users moztest mozilla mozilla mailnews build news src nsnewsfolder warning virtual nsresult nsmsgnewsfolder downloadmessagesforoffline nsiarray nsimsgwindow regression get function prototypes inconsistently changed bug,0
least parts following patches ported comm central locales makefile files http mozilla org releases mozilla rev afda bug releases fixes upload target piketed http mozilla org releases mozilla rev aefb eac bug move readme txt files locale directories mozilla central part ted beltzner http mozilla org releases mozilla rev ffe bug remove moz pkg prettynames special case browser locales makefile tmielczarek http mozilla org mozilla central rev eedb bug add install rdf chrome manifest installers packages language packs bhearsum,0
relativizeuriinfragmentlist first parameter nscomarray nodelist means inserthtmlwithcontext clone nodelist pass parameter instead needs const reference,1
strsclnt function launch thread strsclnt warning used uninitialized function strsclnt function connects strsclnt warning used uninitialized function first one used printf critical sure second prtime lock threadlock lastconnectsuccess max lastconnectsuccess seems broken first glance,1
new design using img bug remind merge two,1
latest firefox release build set default browser install latest trunk nightly takes default browser interferes ability test trunk nightlies without impact normal browser usage whatever code checkin trying fix new version installed folder previous default browser,0
providing new way plugins detect embedded installations gecko java plugin installer needs use new mechanism peterlubczynski worked preliminary version cooking variation summer releases ing peter link technical details since installer issue blocks embedded gecko running java unless copy files around hand marking severity blocker,1
need check library tell amo find,0
naive conversion flat files sql queries queries used needed example make sure one query used get languages information main page rather one get languages one per language information largest offenders current rights draft implementation see bug quickstats,0
bug introduced clipboard support based early draft jep decided take api slightly different direction jep stands today changes regarding images may need made investigation,0
looks like code added bug two issues point view use innermost uri principal never sends null origin instead kills load origin something without host seem code intent seems factor principal origin conversion somewhere make correct various abortive attempts code origin header post bug well requesting blocking since looks like tried align access control spec sorta failed,1
javascript menu left hand side page works great however mozilla execute messages javascript console either,1
user agent mozilla windows windows gecko firefox build identifier mozilla windows windows gecko firefox link tag allows load custom image icon website displayed location bar tab title setting href attribute tag javascript url possible call chrome functions run arbitrary code without user interaction reproducible always steps reproduce open http bugzilla www mikx firelinking follow instructions example cross platform windows example creates file booom bat launches opens dos box dir command linux tested fedora core macosx example creates file booom txt booom txt non windows examples roughly tested please complain working way need double encode backslash linux looks little fishy doubt every mac user write root default get full user rights universalxpconnect everything else matter implementation time,0
like laptop stickers hand career fairs designs handy could use vamp would bit fun college students something along lines rock firefox sticker new ideas would great,0
description interface aligned right using rtl language like hebrew arabic progress meter download manager move right left steps reproduce aligning interface right add lines file intl css locale global jar file language pack file chrome folder windowdialogwizardpage direction rtl menu direction rtl tree direction rtl download file mozilla watch progress meter download manager actual results bar moves left right expected results bar move right left progress meter status bar problem btw,1
user agent mozilla windows windows gecko build identifier mozilla windows windows gecko set attribute usemap fill name map mapname mozilla shows image map without mapname needs always changed testing close box button reproducible always steps reproduce open image properties set attribute usemap mapname mapname example cvould everything close box image properties actual results attribute usemap changed usemap testing expected results usemap mapname workaround set usemap mapname change usemap mapname html source,0
created attachment testcase dynamic testcase seemingly random amount blue seems painting issue since change switch windows even depend tab switched,1
background color selected list items recently changed dark blue bug text color firefox download manager changed readable look good new background,1
locales chrome shortcuts properties following entities cmd actions name open actions list cmd panel name open panel stuff strings correspond fennec therefore removed please supply localization note panel stuff make proper localization,0
user agent mozilla windows windows gecko firefox build identifier http download mozilla org product lightning win using chinese winxp using english version thunderbird lightning week names incomplete shows first two characters three character names likely display issue sunbird displayed correctly reproducible always steps reproduce install english version lightning english version thunderbird chinese winxp actual results lightning uses local language settings mis displays week titles expected results three character week titles theme crossover theme still occurs default theme,1
html text input forms left frame border covers caret first letter better test set sans serif font forms open nay htnl page text forms www bemail org set focus text input field account name caret invisible type letter caret goes visible letter,1
html parser assumes presence bgsound element body error element automagically moved inside head problem editor specifically people wanting edit documents made msie since msie explicitely allows bgsound anywhere see url attached bug reference tag restricted implementation bgsound allowed head reason find code http lxr mozilla org seamonkey source parser htmlparser src nselementtable cpp,0
string newpoolstring creates malformed stringobject source bytearray byte aligned bottom three bits zero stringobject uses low bits flags address must byte aligned otherwise result calling string getdata incorrect,1
user agent mozilla windows windows gecko firebird build identifier mozilla warp gecko warpsans bold fonts testcase printed bold reproducible always steps reproduce load testcase print actual results bold fonts printed bold expected results printed bold,1
