bug_id,long_description,label
CORE-294989, mozilla windows u win en us rv b gecko nightly w se warning anonymous function does not always return a value source file chrome editor content editorinlinespellcheck js line column source code warning anonymous function does not always return a value source file chrome editor content editorinlinespellcheck js line column source code warning anonymous function does not always return a value source file chrome editor content editorinlinespellcheck js line column source code warning anonymous function does not always return a value source file chrome editor content editorinlinespellcheck js line column source code ,1
MAILNEWS_CORE-236941,tested on reproduction the attached rfc message demonstrates the problem after quelque temps un message d une several lines of quoted text are not displayed and then back again that the lines that are not displayed all contain some invalid characters encoded in iso when the message is declared in utf the problem occurs in mail and also when displaying a rfc message in browser it does not happen in normal web pages this is a regression over bug i didn t see a duplicate but i just seem to never be able to find them if you can confirm there is none mark as new ,1
MOZILLA.ORG-271684,somehow dom inspector which was once upon a time listed on the module owners webpage is no longer there as i recall this is a module owned by caillon i don t remember who the peers are i d like to have that restored if it should be there or if it shouldn t clarify which module owner it belongs to if for no other reason than i d like to know who to seek reviews from ,1
WWW.MOZILLA.ORG-160571,two different bugs exist that cover two different release note errors bug and bug ,1
CORE-23606,the title display of the sidebar you know it has customize button and my panels displays the resize cursor for the entire header of the sidebar it should show the default curser for the button at least it is easy to fix change splitter sidebar main header titledbutton padding px to splitter sidebar main header titledbutton padding px cursor default ,1
MOZILLA.ORG-390347,i used to have authorization to pull commit to www mozilla com module may i have that activated again thanks ,0
FIREFOX-250716, ,1
CORE-322686,user agent mozilla macintosh u ppc mac os x mach o en us rv gecko firefox build identifier mozilla macintosh u ppc mac os x mach o en us rv gecko firefox most text editors will save a file by either writing out a new copy then renaming it over top of the old one or renaming the old file to a backup name then writing out a new copy in either case the name now addresses a new inode and this seems to make mozilla sad on os x if i reload it claims that the file is not found if i go to the url bar and press enter it finds it back again if i go back then forward then reload it works properly this would seem to suggest that something is being cached that gets used during reload but discarded during back forward or using the url bar it doesn t always happen for example if i try it on the first local page i visit it doesn t seem to reproduce but if i click a link to another local page replacing that second page will reproduce reproducible always steps to reproduce create two local html files say one html with an href to two html load one html click the link to two html rename a file over top of two html or save it in vi press reload,1
CORE_GRAVEYARD-174699,user agent mozilla windows u windows nt en us rv b gecko phoenix build identifier mozilla windows u windows nt en us rv b gecko phoenix goto tools page info and all the hotkeys for each tab work except security tab which shows alt s for the associated accesibility key but it does not work reproducible always steps to reproduce open page info from tools menu alt s to get security tab actual results nothing expected results switched to the security tab,1
MAILNEWS_CORE-256331,nsmsgfilterdatasource has its own nsisupports implementation instead of inheriting from nsmsgrdfdatasource this means that opening the filter list dialog generates the following assertion assertion addobserver trying weak object that doesn t support nsiweakreference weakreffactory file c mozilla xpcom ds nsobserverlist cpp line ,0
MOZILLA.ORG_GRAVEYARD-483782,tracker bug to refer to from relevant bugs ,1
OTHER_APPLICATIONS-270771, seamonkey trunk w k repro open http dir seznam cz html with domi in sidebar inspect tree until you find iframe expand it actual when you ll expand head or body of iframe browser will crash tb m tb m tb inlayoututils getframefor c builds tinderbox mozillatrunk winnt clobber mozilla extensions inspector base src inlayoututils cpp line inflasher scrollelementintoview c builds tinderbox mozillatrunk winnt clobber mozilla extensions inspector base src inflasher cpp line xptc invokebyindex c builds tinderbox mozillatrunk winnt clobber mozilla xpcom reflect xptcall src md win xptcinvoke cpp line xpcwrappednative callmethod c builds tinderbox mozillatrunk winnt clobber mozilla js src xpconnect src xpcwrappednative cpp line xpc wn callmethod c builds tinderbox mozillatrunk winnt clobber mozilla js src xpconnect src xpcwrappednativejsops cpp line js invoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js interpret c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js invoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js internalinvoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js internalgetorset c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js setproperty c builds tinderbox mozillatrunk winnt clobber mozilla js src jsobj c line js interpret c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js invoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js internalinvoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js callfunctionvalue c builds tinderbox mozillatrunk winnt clobber mozilla js src jsapi c line nsjscontext calleventhandler c builds tinderbox mozillatrunk winnt clobber mozilla dom src base nsjsenvironment cpp line nsjseventlistener handleevent c builds tinderbox mozillatrunk winnt clobber mozilla dom src events nsjseventlistener cpp line nseventlistenermanager handleeventsubtype c builds tinderbox mozillatrunk winnt clobber mozilla content events src nseventlistenermanager cpp line nseventlistenermanager handleevent c builds tinderbox mozillatrunk winnt clobber mozilla content events src nseventlistenermanager cpp line nsxulelement handledomevent c builds tinderbox mozillatrunk winnt clobber mozilla content xul content src nsxulelement cpp line nstreeselection fireonselecthandler c builds tinderbox mozillatrunk winnt clobber mozilla layout xul base src tree src nstreeselection cpp line nstreeselection select c builds tinderbox mozillatrunk winnt clobber mozilla layout xul base src tree src nstreeselection cpp line xptc invokebyindex c builds tinderbox mozillatrunk winnt clobber mozilla xpcom reflect xptcall src md win xptcinvoke cpp line xpcwrappednative callmethod c builds tinderbox mozillatrunk winnt clobber mozilla js src xpconnect src xpcwrappednative cpp line xpc wn callmethod c builds tinderbox mozillatrunk winnt clobber mozilla js src xpconnect src xpcwrappednativejsops cpp line js invoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js interpret c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js invoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js internalinvoke c builds tinderbox mozillatrunk winnt clobber mozilla js src jsinterp c line js callfunctionvalue c builds tinderbox mozillatrunk winnt clobber mozilla js src jsapi c line nsjscontext calleventhandler c builds tinderbox mozillatrunk winnt clobber mozilla dom src base nsjsenvironment cpp line nsjseventlistener handleevent c builds tinderbox mozillatrunk winnt clobber mozilla dom src events nsjseventlistener cpp line nsxblprototypehandler executehandler c builds tinderbox mozillatrunk winnt clobber mozilla content xbl src nsxblprototypehandler cpp line nsxbleventhandler handleevent c builds tinderbox mozillatrunk winnt clobber mozilla content xbl src nsxbleventhandler cpp line nseventlistenermanager handleeventsubtype c builds tinderbox mozillatrunk winnt clobber mozilla content events src nseventlistenermanager cpp line nseventlistenermanager handleevent c builds tinderbox mozillatrunk winnt clobber mozilla content events src nseventlistenermanager cpp line nsxulelement handledomevent c builds tinderbox mozillatrunk winnt clobber mozilla content xul content src nsxulelement cpp line presshell handleeventinternal c builds tinderbox mozillatrunk winnt clobber mozilla layout html base src nspresshell cpp line presshell handleevent c builds tinderbox mozillatrunk winnt clobber mozilla layout html base src nspresshell cpp line nsviewmanager handleevent c builds tinderbox mozillatrunk winnt clobber mozilla view src nsviewmanager cpp line nsviewmanager dispatchevent c builds tinderbox mozillatrunk winnt clobber mozilla view src nsviewmanager cpp line handleevent c builds tinderbox mozillatrunk winnt clobber mozilla view src nsview cpp line nswindow dispatchevent c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line nswindow dispatchwindowevent c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line nswindow dispatchmouseevent c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line childwindow dispatchmouseevent c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line nswindow processmessage c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line nswindow windowproc c builds tinderbox mozillatrunk winnt clobber mozilla widget src windows nswindow cpp line user dll x ef x e ef user dll x c x e c user dll x af x e af nsappstartup run c builds tinderbox mozillatrunk winnt clobber mozilla xpfe components startup src nsappstartup cpp line main c builds tinderbox mozillatrunk winnt clobber mozilla xpfe bootstrap nsapprunner cpp line main c builds tinderbox mozillatrunk winnt clobber mozilla xpfe bootstrap nsapprunner cpp line winmain c builds tinderbox mozillatrunk winnt clobber mozilla xpfe bootstrap nsapprunner cpp line winmaincrtstartup kernel dll x d x f d m doesn t crash on repro ,0
NSS-505561,currently softoken has the ability to load and unload new databases on the fly this is accomplished through create calls using a nss specific object passing the configuration parameters that would have been passed at init time there is no reason other tokens could not also use this mechanism but there needs to be a function which can export that functionality to the user ,0
CORE-326628,to reproduce javascript pkcs deletemodule foopy result a dialog that has no protection against bug style attacks and asks a question that doesn t mean anything to me confirm are you sure you want to delete this security module module name foopy expected a dialog that makes sense and protects against style attacks if necessary or no dialog ,1
CORE-511718,created attachment patch to fix checkin comment very minor simple fix no sr needed we define log differently in various places in necko one file netwerk build nsnetmodule doesn t actually even use the macro but winds up seeing various definitions of it we already had undef log in various places in the file just needed to add a couple more to make the warning go away ,0
FIREFOX-431154,user agent mozilla x u linux i en us rv pre gecko minefield pre build identifier mozilla x u linux i en us rv pre gecko minefield pre the latest build of minefield crashes whenever a tab is closed with the ctrl w key combination reproducible always steps to reproduce open multiple tabs press ctrl w to close one of the tabs actual results minefield crashes and the crash reporter comes up expected results the tab should close without a crash this occurs in both old and freshly created profiles ,0
CORE-369568,created attachment testcase assertion hmm cancallnow failed in xpcwrappednative callmethod we are finding out about this late rv ns error xpc security manager veto file mozilla js src xpconnect src xpcwrappednative cpp line javascript error line uncaught exception exception component does not have requested interface nsidomsvgurireference href nsresult x ns nointerface location js frame filtt svg boom line data no ,0
TESTING_GRAVEYARD-586640,created attachment testcase testhomebutton js this bug was found when i was changing a test in bug testpreferences testsettocurrentpage js by converting the test to use a local file the timeout would occur after we press the home button the homepage is set to a local file during the run of a test http hg mozilla org qa mozmill tests file a bbfe b firefox testpreferences testsettocurrentpage js timeout occurs on this line http hg mozilla org qa mozmill tests file a bbfe b firefox testpreferences testsettocurrentpage js l i ve attached a simple version of the test place it in the testpreferences folder and give it a try the test will open a local file open the preferences dialog and set that page to the current page open a second local file click the home button when we click the home button the test times out with the wait ,0
RELEASE_ENGINEERING-397940,currently the tbird builds have the version string mozilla windows u windows nt en us rv pre gecko thunderbird pre mnenhy id i think this should now be pre like we do for firefox ,1
SEAMONKEY-580663,once places bookmarks have landed we should remove the old bookmarks system this is a split off of part of bug for easier review as now that part is isolated here ,0
JSS-120784,the accept method in sslserversocket should throw the java io interruptedioexception if the timeout expires instead of socketexception ,1
MAILNEWS_CORE-482489,at the moment the feedback alert notifications only have the information that is in the error message e g failed to connect to server xxx we should try and provide identity connection account information to allow some grouping more information about where the feedback originated from ,1
MAILNEWS_CORE-181446,user agent mozilla windows u windows nt ja jp rv gecko netscape build identifier mozilla windows u windows nt en us rv a gecko thread will be broken when child message is followed by parent message reproducible always steps to reproduce i will upload an attachment mbox which contains groups of messages a test test test and b test r test r test r view messages in thread mode actual results group a has correct thread view but group b dose not test test test test r test r test r expected results test test test test r test r test r the only difference between group a and b is in group a parent message is followed by child message in group b child message is followed by parent message this often occurs when we copy move messages individually ,1
CORE-397524,created attachment fix like the subject says ,1
NSS-496305,ivan found out that some test are reported only in results html and not in output log when i looked to testing scripts i found out that all results from dbtest sh are redirected to dbtest log file with comment we don t want all the errormessages in the output log otherwise we can t tell what s a real error there are some negative tests and output contains messages with error stings but while our tests searches for string fail it shouldn t be a problem when report is redirected to dbtest log it is possible that some failures are undetected so i suggest remove this forwarding and keep output from dbtest sh in output log ,0
CORE_GRAVEYARD-273524,user agent mozilla x u linux i en gb rv gecko firefox build identifier mozilla x u linux i en gb rv gecko firefox i have compiled the firefox with gtk enable default toolkit gtk when i download any download any application from internet it is not populating the default handler properly whatever i have associated in gnome reproducible always steps to reproduce associate a txt file in gnome with gedit but with a parameter new window gedit new window by make the default action as custom and program to run gedit new window now in the firefox try to download a file with txt extension then the file handler will not come actual results file handler list will be empty expected results it should come what ever we have associated in gnome ,1
CORE-246482,to reproduce in the soon to be attached testcase double click any word in the first line actual result regardless of which word of the three is double clicked the last two english get selected expected result only the double clicked word should be selected as it does in the rtl only second line or in ie prog ,1
CORE-88078,heikki and i discussed the issue of loading xml from an arbitrary source the nsixmlhttprequest interface despite its name should be able to load xml documents from non http uris while sending xml documents may only be possible for protocols that have a post type mechanism actual loading should be possible from file and chrome uris in fact ie s xmlhttprequest object supports file based loading ,1
CORE-458928,created attachment test case requires signed applets codebase principal support true on windows flash content is rendered by drawwindow when wmode is set to transparent or opaque however if the canvas scale is less than or greater than the flash content is not rendered i created a test case based on the test case for bug the test at the bottom of the page wmode transparent is identical to the other wmode transparent test except i added this call before drawwindow cx scale nothing is drawn when the scale is set to a value other than ,0
CAMINO_GRAVEYARD-421305,user agent mozilla macintosh u ppc mac os x mach o sv rv pre gecko camino b pre like firefox pre build identifier mozilla macintosh u ppc mac os x mach o sv rv pre gecko camino b pre like firefox pre from comment in bug i am wondering why some strings from the main bundle are duplicated in pref panes can t we just fetch the strings from the main bundle by using alternate nslocalizedstring functions these are the duplicates http mxr mozilla org mozilla source camino resources localized english lproj localizable strings in lines reproducible always,0
CORE-138602,from bugzilla helper user agent mozilla macintosh u ppc en us rv rc gecko buildid this version of mozilla doesn t show layers on this site http zulieferer bmw de it does work fine from netscape o thru and mozilla up to version but it doesn t work with this build of mozilla however i got it working when using onmouseover event handler in a hotspot but i don t understand why the change in code was neccesary reproducible always steps to reproduce alway the same every time i open the site http zulieferer bmw de every time i open the site http zulieferer bmw de every time i open the site http zulieferer bmw de expected results show layer,0
MAILNEWS_CORE-456247,created attachment patch v currently streammessage will stream from the network even if we re offline or we don t want to this isn t always desirable the patch aims to fix this the patch basically does two things it allows streaming over the network in case this is a fairly straightforward patch with some code shuffled around and a bit of the control flow changed there is only one cache lookup now david is this worth getting in for beta also right now i ve tried to keep as similar a behaviour as possible for the search component jeff mentioned that there should be a ui option whether to allow the component to download over the network what do you think of such a thing post beta there are some changes that are just whitespace diff w didn t figure them out though ,0
CORE-454037,http users alliedmods net dvander tm chrome test jpg we re hurting on parseint and concat ,0
JSS-112330,with a fresh copy of a netscape directory i initialize the internal key storage using the browser i give it a password close the browser i run a jss program that does the following access the token so i am asked for a password after that i request a change of password using cryptotoken changepassword new consolepasswordcallback new consolepasswordcallback the first time it asks for the old password i make a mistake on purpose then i give it the right password and then a new password the program breaks either when giving the new password or when giving the old password the second time if it doesnt break i inmediatly run the same program again following the same procedure as before and it will surely break at one of the two aforementioned points log of the crash follows rrecaba socrates start java testcertimport netscape cert crt hola enter password for internal key storage token e lmauro usb ve cn grupo de correo ou direccion de servicios telematicos o universidad simon bolivar l caracas st miranda c ve imported ca cert chain setting trust bits enter password for internal key storage token password incorrect try again enter password for internal key storage token enter password for internal key storage token crypto token name internal key storage token is logged in true threre are certs in this token threre are keys in this token this time it finished ok the password got changed so i inmediatly run the exact same program again rrecaba socrates start java testcertimport netscape cert crt hola enter password for internal key storage token e lmauro usb ve cn grupo de correo ou direccion de servicios telematicos o universidad simon bolivar l caracas st miranda c ve imported ca cert chain setting trust bits enter password for internal key storage token password incorrect try again enter password for internal key storage token an unexpected exception has been detected in native code outside the vm unexpected signal occurred at pc x function name malloc library lib libc so current java thread at org mozilla jss pkcs pk token userpasswordiscorrect native method at org mozilla jss pkcs pk token changepassword pk token java at testcertimport main testcertimport java dynamic libraries c r xp usr java jdk bin i native threads java c d rw p usr java jdk bin i native threads java r xp lib ld so rw p lib ld so r p usr share locale en us lc messages sys lc messages r p usr share locale en us lc monetary r p usr share locale en us lc time r p usr share locale en us lc numeric c r s home rrecaba jpcsc jar c r xp lib libpthread so e rw p a lib libpthread so f r xp usr java jdk jre lib i native threads libhpi so rw p usr java jdk jre lib i native threads libhpi so r xp usr java jdk jre lib i client libjvm so c rw p ec usr java jdk jre lib i client libjvm so r xp lib libdl so rw p lib libdl so r xp lib libc so rw p ec lib libc so d f r xp lib libnsl so f rw p lib libnsl so f r xp lib libm so f rw p b lib libm so r xp usr lib libstdc libc so a rw p usr lib libstdc libc so a b r xp usr java jdk jre lib i libverify so b b rw p usr java jdk jre lib i libverify so b d r xp usr java jdk jre lib i libjava so d d rw p usr java jdk jre lib i libjava so d ed r xp usr java jdk jre lib i libzip so ed f rw p usr java jdk jre lib i libzip so f e r s usr java jdk jre lib rt jar b f r s usr java jdk jre lib i n jar f r s usr java jdk jre lib sunrsasign jar f r p usr share locale en us lc ctype d r p usr share locale en us lc collate c r xp lib libnss files so c d rw p lib libnss files so d r s home rrecaba jss jar r xp root jss lib libjss so rw p b root jss lib libjss so r xp root nss lib libnss so c rw p root nss lib libnss so e r xp root nss lib libsmime so e rw p c root nss lib libsmime so d r xp root nss lib libssl so d e rw p b root nss lib libssl so e r xp root nspr lib libplc so rw p root nspr lib libplc so r xp root nspr lib libplds so rw p root nspr lib libplds so c r xp root nspr lib libnspr so c e rw p root nspr lib libnspr so local time wed nov elapsed time the exception above was detected in native code outside the vm java vm java hotspot tm client vm mixed mode an error report file has been saved as hs err pid log please refer to the file for further information linux redhat kernel jss ,1
THUNDERBIRD-243810,user agent mozilla windows u windows nt en us rv a gecko firefox build identifier mozilla windows u windows nt en us rv a gecko firefox when viewing the inbox of a pop account if new mail arrives i am unable to view that new mail i can read previously collected email but viewing the newly received email only displays the currently viewed email cannot manage new email at all delete read mark as junk etc this behaviour does not occur if viewing a different sub folder when new mail arrives changing from inbox to a different subfolder then back to inbox does not correc tthe iussue restarting thunderbird allows me to view the affected messages but behaviour recurrs for new messages issue does not occur in build and prior reproducible always steps to reproduce view a message in inbox receive new email actual results unable to view new email expected results allowed me to view new email ,0
CORE-486052,created attachment testcase assertion unexpected second call to setinitialchildlist not reached file users jruderman central layout generic nscontainerframe cpp line assertion frames getting lost ns succeeded rv file users jruderman central layout base nscssframeconstructor cpp line assertion some objects allocated with allocateframe were not freed mframecount file users jruderman central layout base nspresshell cpp line security sensitive because the last assertion is often scary and i m in a hurry ,0
SEAMONKEY-451291,user agent mozilla windows u windows nt en us rv a pre gecko seamonkey a pre build identifier mozilla windows u windows nt en us rv a pre gecko seamonkey a pre the following links in the debug menu go to pages that are no longer available verification gif images verification larger page verification smaller page view demos every link under here form manager samples string bundle test bloat dump new stats bloat dump all stats bloat clear stats additionally clicking on links under leak detector seem to do nothing although i am not sure what the expected behaviour is reproducible always steps to reproduce select debug menu select one of the above links from under it,1
CORE-332239,see upcoming testcase to reproduce open testcase save the testcase with save page as open the saved page expected result the saved page should not give an xml parsing error actual result xml parsing error this regressed between and http bonsai mozilla org cvsquery cgi treeid default module all branch head branchtype match dir file filetype match who whotype match sortby date hours date explicit mindate maxdate cvsroot fcvsroot i guess a regression from bug ,0
TOOLKIT-995489,for bug i need to show an autocomplete popup with login manager entries i was able to use the existing code with a few modifications ,1
MAILNEWS_CORE-365377,at least two cases affected by this delete the msf file of a folder with a valid feed restart tb new msf file doesn t have the feed information in it so the subscription no longer appears in the subscribe dialog i m not sure yet if this means the folder no longer gets new items this assumes the broken behavior described at bug comment in the subscribe dialog drag a feed from one folder to another the new folder gets the feed info added to its new msf but due to the ref d bug isn t updated to be the actual feed target rebuild index on this folder could be used to fix that problem but it doesn t the feed information persists out of synch with feeds rdf ,1
INFRASTRUCTURE_&_OPERATIONS-939926,hi we need credentials for the members of the identity team names listed below to access the identity blog on blog mozilla org identity thanks in advance didem names andy chilton austin king brian warner chris karlof crystal beasley dan callahan danny coates didem ersoz edwin wong francois marier gene wood james bonacci jared hirsch jed parsons john gruen john morrison karl thiessen katie parlante lloyd hilaiel peter dehann ryan feeley ryan kelly sam penrose shane tomlinson sean mcarthur tauni oxborrow zach carter,1
CORE-96466,from bugzilla helper user agent mozilla compatible msie windows nt buildid the administration section of the board is usually displayed in a table now it s just concatenated text of the table columns it really doesn t look like a table but it looks like floating text no columns and no rows at all with other browsers even with mozilla and at least until build it works correct reproducible always steps to reproduce go to the provided test url using mozilla go to the provided test url using mozilla mozilla see the difference actual results wrong display of page content expected results instead of floating text there should be some kind of tables appearing ,1
RELEASE_ENGINEERING-432003,we should turn on source server support for thunderbird windows trunk builds should be as easy as adding the marked lines in the url to the tinder config pl ,0
CORE_GRAVEYARD-314271,we need to update the project page docs to account for pseudo class support upload finished etc in prep of posting xpi for rc ,0
RELEASE_ENGINEERING-492808,if a slave s build directory is empty and the clobber server returns a non null value for the clobber date the current clobberer script will treat that as a trigger to force a clobber this results in a message server is forcing a clobber which various other tools pick up on the problem is that of the time the build directory has been clobbered by some other build needing space also saying that the server is forcing a clobber is misleading because the build directory is already clobbered we should fix the clobberer script so it doesn t warn about this common case we should also indicate when a clobber build is occurring ,1
