Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
2018-6-11,Tatuapé,-23.5402,-46.5765,68602,6,53,41,38,34,27,31,11,REABASTECER
2018-6-26,Tatuapé,-23.5402,-46.5765,70108,19,38,49,38,15,38,18,35,NORMAL
2019-9-17,Tatuapé,-23.5402,-46.5765,69407,54,47,28,7,17,29,4,11,NORMAL
2018-3-2,Tatuapé,-23.5402,-46.5765,70918,73,17,18,2,14,29,10,15,NORMAL
2019-1-19,Tatuapé,-23.5402,-46.5765,69979,56,49,13,25,40,34,14,7,NORMAL
2019-2-5,Tatuapé,-23.5402,-46.5765,69361,54,11,41,19,19,8,41,31,NORMAL
2019-12-8,Tatuapé,-23.5402,-46.5765,69958,33,39,55,23,37,21,21,34,NORMAL
2018-4-15,Tatuapé,-23.5402,-46.5765,67388,5,65,48,24,9,3,37,43,NORMAL
2019-8-27,Tatuapé,-23.5402,-46.5765,69908,63,50,26,15,10,35,2,3,NORMAL
2018-7-27,República,-23.5436,-46.6434,107742,36,14,40,13,33,4,8,39,NORMAL
2018-8-9,República,-23.5436,-46.6434,107305,9,65,21,26,26,12,5,38,REABASTECER
2019-12-1,Tatuapé,-23.5402,-46.5765,69195,21,20,38,6,23,41,7,19,REABASTECER
2018-9-26,República,-23.5436,-46.6434,109616,75,29,42,12,25,32,39,3,NORMAL
2019-2-29,Tatuapé,-23.5402,-46.5765,68396,63,65,17,32,7,23,25,23,NORMAL
2018-9-8,República,-23.5436,-46.6434,110754,73,61,19,27,43,12,21,25,NORMAL
2018-12-25,República,-23.5436,-46.6434,109518,73,12,52,27,39,6,22,31,NORMAL
2018-1-30,República,-23.5436,-46.6434,108814,86,61,9,2,9,38,12,9,REABASTECER
2019-1-7,República,-23.5436,-46.6434,107202,50,9,44,41,39,6,15,23,NORMAL
2019-11-23,República,-23.5436,-46.6434,110372,68,7,30,18,7,43,38,29,REABASTECER
2018-9-22,Sé,-23.55,-46.6333,192353,51,26,65,40,12,14,23,11,NORMAL
2018-2-15,Sé,-23.55,-46.6333,194927,78,65,13,27,21,43,7,43,NORMAL
2018-11-28,Sé,-23.55,-46.6333,193479,29,65,15,7,21,19,25,13,NORMAL
2018-4-5,Sé,-23.55,-46.6333,194929,16,33,26,5,23,25,19,7,REABASTECER
2018-7-17,Sé,-23.55,-46.6333,191329,86,30,12,37,7,40,21,6,NORMAL
2019-4-16,Sé,-23.55,-46.6333,194855,15,10,45,9,17,21,4,7,NORMAL
2018-9-2,Sé,-23.55,-46.6333,193455,63,17,16,33,41,30,17,40,NORMAL
2018-3-14,Brás,-23.5451,-46.6162,70958,40,45,22,26,11,25,3,41,REABASTECER
2019-5-26,Sé,-23.55,-46.6333,194314,42,40,65,16,23,25,13,18,NORMAL
2018-3-21,Brás,-23.5451,-46.6162,74493,55,65,41,5,29,9,23,11,NORMAL
2018-6-26,Brás,-23.5451,-46.6162,74241,24,65,47,4,11,28,11,17,REABASTECER
2019-10-1,Sé,-23.55,-46.6333,192219,14,48,36,16,37,43,6,17,REABASTECER
2019-12-4,Sé,-23.55,-46.6333,193655,40,29,58,39,8,20,10,16,NORMAL
2019-3-25,Sé,-23.55,-46.6333,195050,60,17,50,24,16,29,3,13,REABASTECER
2018-11-6,Brás,-23.5451,-46.6162,71235,16,17,41,43,29,43,5,8,REABASTECER
2018-8-23,Brás,-23.5451,-46.6162,72665,57,37,6,7,38,17,7,20,REABASTECER
2018-5-10,Brás,-23.5451,-46.6162,71813,28,27,26,43,40,33,30,28,NORMAL
2019-2-20,Brás,-23.5451,-46.6162,72624,22,10,60,38,30,6,43,25,REABASTECER
2018-6-4,Brás,-23.5451,-46.6162,71439,58,12,65,22,12,6,17,22,NORMAL
2018-9-6,Brás,-23.5451,-46.6162,73180,13,30,56,13,25,25,41,8,NORMAL
2019-7-26,Brás,-23.5451,-46.6162,72456,38,54,20,35,25,28,18,31,NORMAL
2019-9-17,Brás,-23.5451,-46.6162,72136,48,55,56,37,30,42,32,8,NORMAL
2019-6-15,Brás,-23.5451,-46.6162,73780,12,49,48,33,26,39,14,15,NORMAL
2018-4-1,Barra Funda,-23.5542,-46.6707,149337,62,57,34,33,16,9,6,16,REABASTECER
2019-8-23,Brás,-23.5451,-46.6162,72133,41,11,28,8,43,22,37,13,NORMAL
2019-12-5,Brás,-23.5451,-46.6162,73642,48,19,65,28,29,29,19,22,NORMAL
2019-12-11,Brás,-23.5451,-46.6162,72189,86,54,36,16,9,15,35,40,NORMAL
2019-12-16,Brás,-23.5451,-46.6162,74474,31,24,5,35,35,38,18,18,NORMAL
2018-12-9,Barra Funda,-23.5542,-46.6707,147246,65,12,42,12,7,30,11,6,REABASTECER
2018-3-17,Tatuapé,-23.5402,-46.5765,69434,20,65,41,26,38,30,28,33,NORMAL
2018-10-5,Barra Funda,-23.5542,-46.6707,150731,67,44,12,25,43,24,21,43,NORMAL
2018-7-19,Tatuapé,-23.5402,-46.5765,67986,57,12,25,43,43,12,1,18,REABASTECER
2019-10-7,Barra Funda,-23.5542,-46.6707,148004,49,50,19,6,31,14,19,35,REABASTECER
2019-11-12,Barra Funda,-23.5542,-46.6707,149186,17,40,29,27,14,1,4,26,REABASTECER
2019-4-19,Sé,-23.55,-46.6333,193147,79,63,17,42,10,12,36,41,NORMAL
2018-8-16,Sé,-23.55,-46.6333,194650,65,42,9,34,22,35,37,7,REABASTECER
2018-10-7,Sé,-23.55,-46.6333,192950,74,7,24,43,40,43,8,41,REABASTECER
2018-11-5,Sé,-23.55,-46.6333,193790,65,53,30,40,17,7,33,20,NORMAL
2018-5-8,Brás,-23.5451,-46.6162,72509,43,41,39,9,6,43,35,36,REABASTECER
2018-11-17,Sé,-23.55,-46.6333,194894,35,65,11,43,16,14,29,19,NORMAL
2018-11-26,Sé,-23.55,-46.6333,192808,44,11,24,12,30,26,29,20,NORMAL
2019-8-11,Sé,-23.55,-46.6333,193755,8,60,55,27,12,32,39,10,NORMAL
2019-1-29,Sé,-23.55,-46.6333,191897,74,14,38,7,4,30,11,35,NORMAL
2018-1-7,Brás,-23.5451,-46.6162,73886,25,37,19,25,21,15,13,20,NORMAL
2018-3-26,Brás,-23.5451,-46.6162,70904,86,40,65,28,10,36,39,36,NORMAL
2018-8-14,Brás,-23.5451,-46.6162,73869,65,17,65,32,28,10,43,14,NORMAL
2019-10-7,Brás,-23.5451,-46.6162,72314,4,60,48,19,38,23,26,12,NORMAL
2018-4-5,Brás,-23.5451,-46.6162,70785,86,59,7,40,18,7,41,43,NORMAL
2019-1-16,Brás,-23.5451,-46.6162,71248,33,32,24,17,30,18,16,35,NORMAL
2019-7-16,Sé,-23.55,-46.6333,191734,67,15,16,33,31,34,23,26,NORMAL
2019-9-17,Sé,-23.55,-46.6333,193744,77,54,3,11,4,7,20,30,REABASTECER
2018-3-25,Sé,-23.55,-46.6333,194361,25,19,26,41,18,13,12,7,NORMAL
2019-10-20,Sé,-23.55,-46.6333,193128,3,55,27,9,5,34,17,23,NORMAL
2018-9-26,Sé,-23.55,-46.6333,193579,17,65,36,25,37,43,8,40,NORMAL
2018-5-17,Brás,-23.5451,-46.6162,71239,46,44,44,30,8,43,40,7,NORMAL
2019-7-9,Brás,-23.5451,-46.6162,73408,33,22,11,43,12,43,43,12,NORMAL
2019-8-4,Brás,-23.5451,-46.6162,71764,48,65,37,14,32,11,23,4,REABASTECER
2019-11-17,Brás,-23.5451,-46.6162,71713,55,65,44,4,10,36,6,21,REABASTECER
2018-8-5,Barra Funda,-23.5542,-46.6707,146799,44,41,6,35,25,3,37,41,REABASTECER
2019-11-17,Brás,-23.5451,-46.6162,71713,55,65,44,4,10,36,6,21,REABASTECER
2019-3-27,Brás,-23.5451,-46.6162,73997,11,65,65,25,8,19,31,24,REABASTECER
2018-10-14,Barra Funda,-23.5542,-46.6707,147525,76,55,16,1,4,30,23,6,REABASTECER
2019-3-29,Brás,-23.5451,-46.6162,71725,74,51,52,19,43,14,23,19,NORMAL
2019-6-14,Brás,-23.5451,-46.6162,72085,20,52,52,36,32,42,20,21,NORMAL
2019-8-30,Brás,-23.5451,-46.6162,73828,59,32,47,22,7,43,10,28,NORMAL
2019-11-23,Brás,-23.5451,-46.6162,71371,86,30,10,26,31,25,22,39,NORMAL
2019-7-5,Barra Funda,-23.5542,-46.6707,147400,71,65,35,42,28,9,37,21,NORMAL
2019-8-20,Barra Funda,-23.5542,-46.6707,146982,73,58,59,40,5,22,26,25,NORMAL
2019-10-25,Barra Funda,-23.5542,-46.6707,148681,27,62,25,37,6,11,29,13,REABASTECER
2018-5-23,Barra Funda,-23.5542,-46.6707,148741,56,65,56,32,31,13,27,20,NORMAL
2019-3-24,Barra Funda,-23.5542,-46.6707,147486,86,43,25,36,4,9,4,7,NORMAL
2018-1-21,Tatuapé,-23.5402,-46.5765,70545,55,59,60,37,43,35,41,4,REABASTECER
2019-5-6,Barra Funda,-23.5542,-46.6707,148669,5,35,65,23,9,19,20,8,NORMAL
2018-12-28,Barra Funda,-23.5542,-46.6707,148768,34,28,48,37,19,12,21,19,NORMAL
2019-4-4,Barra Funda,-23.5542,-46.6707,150333,66,41,26,17,5,16,8,10,NORMAL
2019-2-15,Luz,-23.5365,-46.6332,125426,74,11,25,38,20,26,7,8,NORMAL
2019-3-6,Luz,-23.5365,-46.6332,124701,24,65,7,30,22,9,13,9,REABASTECER
2019-6-7,Luz,-23.5365,-46.6332,124917,15,9,65,20,11,16,34,16,REABASTECER
2018-12-6,Luz,-23.5365,-46.6332,127518,44,60,51,34,26,35,7,34,NORMAL
2018-4-11,Ana Rosa,-23.5813,-46.6383,67651,66,19,43,6,38,18,22,35,REABASTECER
2018-8-26,Ana Rosa,-23.5813,-46.6383,66697,44,65,41,6,13,12,32,16,NORMAL
2019-5-15,Luz,-23.5365,-46.6332,124219,46,12,2,35,16,7,40,19,NORMAL
2018-10-6,Ana Rosa,-23.5813,-46.6383,66552,20,24,65,24,14,35,10,25,NORMAL
2019-12-19,Ana Rosa,-23.5813,-46.6383,64555,36,65,27,6,17,20,41,9,NORMAL
2018-1-7,Ana Rosa,-23.5813,-46.6383,65138,25,27,17,34,15,26,11,16,NORMAL
2018-3-17,Ana Rosa,-23.5813,-46.6383,67117,53,40,54,36,19,8,28,5,REABASTECER
2018-4-25,Ana Rosa,-23.5813,-46.6383,67201,14,8,12,7,24,25,16,21,REABASTECER
2018-7-29,São Joaquim,-23.5618,-46.6389,34805,44,48,32,18,36,36,43,38,NORMAL
2018-5-22,Ana Rosa,-23.5813,-46.6383,66231,86,26,13,7,33,17,31,8,NORMAL
2018-6-12,Ana Rosa,-23.5813,-46.6383,64113,64,43,13,25,1,9,32,12,REABASTECER
2019-2-27,São Joaquim,-23.5618,-46.6389,33206,18,7,45,21,31,24,38,11,NORMAL
2018-4-21,São Joaquim,-23.5618,-46.6389,35185,57,45,19,16,30,14,33,43,NORMAL
2019-4-27,São Joaquim,-23.5618,-46.6389,35189,30,49,65,29,5,30,43,39,NORMAL
2018-6-25,São Joaquim,-23.5618,-46.6389,34411,20,8,58,39,36,25,8,26,NORMAL
2019-7-4,São Joaquim,-23.5618,-46.6389,34522,86,39,45,27,36,33,28,35,NORMAL
2018-8-12,São Joaquim,-23.5618,-46.6389,32882,64,40,7,22,30,27,43,35,REABASTECER
2018-9-29,São Joaquim,-23.5618,-46.6389,33824,22,17,14,39,6,24,27,30,REABASTECER
2018-10-20,São Joaquim,-23.5618,-46.6389,32592,61,27,65,32,43,36,21,31,NORMAL
2019-4-14,São Joaquim,-23.5618,-46.6389,34003,65,49,29,21,5,32,7,35,REABASTECER
2019-4-16,São Joaquim,-23.5618,-46.6389,36280,43,35,11,13,39,24,43,27,NORMAL
2019-7-28,São Joaquim,-23.5618,-46.6389,33788,13,31,3,38,31,4,8,29,REABASTECER
2018-11-17,São Judas,-23.6255,-46.6411,15987,48,44,53,35,31,16,30,35,NORMAL
2018-9-29,São Joaquim,-23.5618,-46.6389,33824,22,17,14,39,6,24,27,30,REABASTECER
2018-2-26,São Judas,-23.6255,-46.6411,14184,65,22,30,25,35,8,26,11,NORMAL
2019-3-8,São Joaquim,-23.5618,-46.6389,32639,75,11,31,40,27,34,27,12,NORMAL
2018-11-14,São Judas,-23.6255,-46.6411,15606,73,61,1,6,4,28,40,43,REABASTECER
2019-7-1,São Joaquim,-23.5618,-46.6389,36247,28,65,6,36,5,39,38,2,REABASTECER
2018-4-26,São Judas,-23.6255,-46.6411,13614,18,46,10,29,9,36,22,27,NORMAL
2018-10-2,Vila Mariana,-23.5895,-46.6346,24404,42,40,46,26,5,41,43,25,REABASTECER
2018-6-18,São Judas,-23.6255,-46.6411,17335,44,34,40,32,19,17,9,30,NORMAL
2018-8-8,São Judas,-23.6255,-46.6411,17031,50,53,17,10,36,34,28,10,NORMAL
2018-8-13,São Judas,-23.6255,-46.6411,13625,86,24,46,35,12,20,13,30,NORMAL
2018-8-14,São Judas,-23.6255,-46.6411,16478,75,21,39,34,10,15,7,26,NORMAL
2018-8-28,São Judas,-23.6255,-46.6411,15913,15,11,3,39,43,9,27,12,REABASTECER
2018-2-29,Vila Mariana,-23.5895,-46.6346,22038,45,39,55,43,31,34,34,21,NORMAL
2018-4-9,Vila Mariana,-23.5895,-46.6346,24930,6,54,40,14,3,23,18,38,REABASTECER
2018-6-10,Vila Mariana,-23.5895,-46.6346,23801,29,55,20,37,34,7,25,30,NORMAL
2019-9-30,Vila Mariana,-23.5895,-46.6346,23579,32,18,65,22,13,12,9,43,NORMAL
2019-5-22,São Judas,-23.6255,-46.6411,14918,73,13,47,12,32,30,43,23,NORMAL
2018-3-29,Brooklin,-23.6263,-46.6878,29048,16,36,17,9,5,38,15,38,REABASTECER
2018-7-30,Brooklin,-23.6263,-46.6878,26543,52,25,14,23,37,24,16,30,NORMAL
2019-11-17,Vila Mariana,-23.5895,-46.6346,22820,68,65,11,43,32,38,35,31,NORMAL
2018-1-18,Brooklin,-23.6263,-46.6878,27069,13,10,65,17,25,23,17,24,NORMAL
2019-6-28,Brás,-23.5451,-46.6162,73714,56,35,25,36,15,2,43,12,REABASTECER
2018-11-3,Brás,-23.5451,-46.6162,70882,48,36,65,7,43,7,20,18,NORMAL
2018-11-30,Brás,-23.5451,-46.6162,74067,39,63,21,34,4,13,37,43,REABASTECER
2019-11-11,Brás,-23.5451,-46.6162,71731,24,41,18,13,33,43,25,43,NORMAL
2018-4-3,Barra Funda,-23.5542,-46.6707,146923,42,44,17,27,8,43,40,8,NORMAL
2018-4-4,Barra Funda,-23.5542,-46.6707,148024,31,40,12,25,2,40,34,5,REABASTECER
2019-9-3,Brás,-23.5451,-46.6162,70684,30,16,24,16,41,41,43,17,NORMAL
2018-6-24,Barra Funda,-23.5542,-46.6707,150723,3,65,29,5,32,33,43,31,REABASTECER
2019-10-25,Brás,-23.5451,-46.6162,71761,86,21,56,27,8,15,43,27,NORMAL
2018-8-19,Barra Funda,-23.5542,-46.6707,150544,77,12,51,43,2,10,21,30,REABASTECER
2018-9-10,Barra Funda,-23.5542,-46.6707,147514,39,65,30,13,9,25,33,24,NORMAL
2018-1-13,Barra Funda,-23.5542,-46.6707,150332,52,65,59,10,37,43,37,39,NORMAL
2018-10-30,Barra Funda,-23.5542,-46.6707,149262,23,24,56,5,29,27,43,32,NORMAL
2018-6-19,Barra Funda,-23.5542,-46.6707,148961,54,36,5,22,8,3,16,9,NORMAL
2019-7-9,Barra Funda,-23.5542,-46.6707,146860,29,44,7,39,11,43,22,8,NORMAL
2018-3-12,Barra Funda,-23.5542,-46.6707,149689,68,40,34,13,2,11,2,16,REABASTECER
2019-10-28,Barra Funda,-23.5542,-46.6707,148327,86,52,65,31,36,42,16,43,NORMAL
2019-6-5,Barra Funda,-23.5542,-46.6707,149167,86,56,57,18,31,19,30,11,NORMAL
2019-10-11,Barra Funda,-23.5542,-46.6707,150165,10,19,56,27,16,9,5,19,REABASTECER
2019-2-12,Tatuapé,-23.5402,-46.5765,70387,73,29,65,9,36,33,11,4,REABASTECER
2019-8-2,Barra Funda,-23.5542,-46.6707,148880,78,41,47,15,39,31,14,6,REABASTECER
2019-8-28,Barra Funda,-23.5542,-46.6707,148378,74,2,10,19,13,43,39,31,NORMAL
2019-9-24,Barra Funda,-23.5542,-46.6707,147180,79,57,38,8,33,14,24,4,REABASTECER
2018-9-14,Tatuapé,-23.5402,-46.5765,68155,42,20,47,37,33,43,34,3,REABASTECER
2019-7-9,Tatuapé,-23.5402,-46.5765,68507,86,11,28,15,38,19,24,19,NORMAL
2018-3-12,Tatuapé,-23.5402,-46.5765,70012,66,27,5,11,16,42,11,13,NORMAL
2019-12-13,Tatuapé,-23.5402,-46.5765,68468,79,8,18,43,19,43,43,13,REABASTECER
2019-3-6,Tatuapé,-23.5402,-46.5765,70192,77,22,38,14,22,8,2,37,NORMAL
2018-3-1,República,-23.5436,-46.6434,107577,35,59,3,23,10,28,15,21,NORMAL
2018-6-10,Higienópolis-Mackenzie,-23.5488,-46.6519,91682,48,52,9,43,43,14,29,33,REABASTECER
2019-8-28,República,-23.5436,-46.6434,110883,86,49,23,14,43,19,23,36,NORMAL
2018-8-19,Higienópolis-Mackenzie,-23.5488,-46.6519,92339,47,18,5,43,21,15,24,18,REABASTECER
2019-11-18,República,-23.5436,-46.6434,110739,20,32,65,28,28,22,14,5,REABASTECER
2018-11-17,Higienópolis-Mackenzie,-23.5488,-46.6519,91624,46,60,48,37,11,39,12,20,NORMAL
2019-2-6,República,-23.5436,-46.6434,108794,25,35,52,26,43,1,38,43,NORMAL
2018-1-28,Higienópolis-Mackenzie,-23.5488,-46.6519,91344,75,31,6,39,26,33,25,9,NORMAL
2018-2-5,Higienópolis-Mackenzie,-23.5488,-46.6519,90087,86,61,24,22,38,4,32,24,REABASTECER
2018-2-14,Higienópolis-Mackenzie,-23.5488,-46.6519,92862,86,2,20,35,4,18,40,30,REABASTECER
2019-4-6,Higienópolis-Mackenzie,-23.5488,-46.6519,89955,79,8,21,17,29,15,13,26,REABASTECER
2018-6-22,Higienópolis-Mackenzie,-23.5488,-46.6519,92512,23,41,55,43,28,23,28,31,NORMAL
2018-8-8,Higienópolis-Mackenzie,-23.5488,-46.6519,89763,67,15,18,28,24,7,23,18,NORMAL
2018-8-25,Higienópolis-Mackenzie,-23.5488,-46.6519,89822,79,47,36,29,43,38,4,38,REABASTECER
2019-8-30,Higienópolis-Mackenzie,-23.5488,-46.6519,93467,33,21,55,16,36,35,23,8,NORMAL
2019-10-18,Higienópolis-Mackenzie,-23.5488,-46.6519,90802,6,27,35,13,26,42,12,38,NORMAL
2019-1-1,Higienópolis-Mackenzie,-23.5488,-46.6519,93032,69,29,65,22,39,15,43,19,NORMAL
2018-2-19,Higienópolis-Mackenzie,-23.5488,-46.6519,91155,36,34,54,26,29,8,22,14,NORMAL
2018-8-12,Higienópolis-Mackenzie,-23.5488,-46.6519,92694,30,53,57,19,12,39,9,43,NORMAL
2018-1-23,Pinheiros,-23.5664,-46.703,79270,29,59,43,14,4,30,31,13,NORMAL
2018-2-2,Pinheiros,-23.5664,-46.703,78331,25,3,50,32,7,4,37,21,REABASTECER
2019-7-14,Faria Lima,-23.5675,-46.6929,51444,45,61,16,38,17,43,28,37,NORMAL
2018-2-5,Pinheiros,-23.5664,-46.703,79193,86,55,28,28,40,31,24,11,NORMAL
2018-12-14,Pinheiros,-23.5664,-46.703,78048,74,51,16,37,15,15,38,12,NORMAL
2018-12-22,Pinheiros,-23.5664,-46.703,76763,86,2,33,13,27,33,9,18,REABASTECER
2018-3-6,Pinheiros,-23.5664,-46.703,76302,39,65,9,7,2,23,28,12,NORMAL
2019-7-30,Pinheiros,-23.5664,-46.703,78784,25,36,17,4,40,17,2,10,NORMAL
2019-8-6,Pinheiros,-23.5664,-46.703,78295,58,8,47,20,20,4,28,29,NORMAL
2019-4-26,Pinheiros,-23.5664,-46.703,79536,86,7,21,38,32,43,43,43,NORMAL
2018-6-14,Butantã,-23.5844,-46.7252,67785,57,45,12,25,36,24,27,25,NORMAL
2018-9-5,Butantã,-23.5844,-46.7252,64982,86,32,15,18,17,35,19,9,NORMAL
2018-11-2,Pinheiros,-23.5664,-46.703,77976,51,39,65,5,7,30,22,17,REABASTECER
2019-1-15,Pinheiros,-23.5664,-46.703,76840,16,52,18,33,28,23,8,6,NORMAL
2019-2-3,Pinheiros,-23.5664,-46.703,76596,14,12,10,10,37,3,22,16,REABASTECER
2019-2-13,Butantã,-23.5844,-46.7252,64983,86,10,34,5,23,20,2,22,REABASTECER
2019-3-18,Pinheiros,-23.5664,-46.703,79527,22,12,40,31,8,33,17,21,NORMAL
2019-4-22,Pinheiros,-23.5664,-46.703,77880,34,42,53,3,6,13,14,14,REABASTECER
2018-7-12,Butantã,-23.5844,-46.7252,65816,40,65,35,21,14,31,43,43,NORMAL
2019-6-16,Butantã,-23.5844,-46.7252,65451,44,34,30,25,43,22,24,4,REABASTECER
2018-9-9,Butantã,-23.5844,-46.7252,64609,45,14,61,7,43,15,43,36,NORMAL
2019-9-7,Butantã,-23.5844,-46.7252,66468,31,27,42,8,43,16,43,23,NORMAL
2019-10-25,Pinheiros,-23.5664,-46.703,79051,11,29,26,11,40,9,17,27,REABASTECER
2019-11-15,Butantã,-23.5844,-46.7252,67867,65,15,41,43,12,35,16,43,NORMAL
2019-12-19,Pinheiros,-23.5664,-46.703,76619,20,36,32,35,16,7,11,23,NORMAL
2019-5-5,Butantã,-23.5844,-46.7252,64183,8,39,65,17,31,7,16,5,REABASTECER
2019-5-24,Butantã,-23.5844,-46.7252,64773,86,51,45,13,6,5,22,6,REABASTECER
2018-6-17,Fradique Coutinho,-23.5661,-46.6841,34928,2,39,13,21,10,14,40,8,REABASTECER
2018-9-1,Butantã,-23.5844,-46.7252,67466,42,52,36,27,31,42,39,20,NORMAL
2018-9-23,Fradique Coutinho,-23.5661,-46.6841,34177,45,65,31,30,8,14,24,17,NORMAL
2018-10-29,Butantã,-23.5844,-46.7252,66157,60,42,29,7,24,39,17,23,NORMAL
2018-12-5,Fradique Coutinho,-23.5661,-46.6841,34984,27,32,33,18,17,38,38,38,NORMAL
2019-2-9,Butantã,-23.5844,-46.7252,65443,36,33,56,18,39,38,15,40,NORMAL
2018-4-23,Fradique Coutinho,-23.5661,-46.6841,33474,15,8,5,23,18,8,24,21,NORMAL
2019-3-11,Butantã,-23.5844,-46.7252,64721,86,45,51,2,33,22,22,41,REABASTECER
2019-1-28,Brooklin,-23.6263,-46.6878,26449,46,32,65,29,3,10,23,24,REABASTECER
2018-2-23,Campo Belo,-23.6188,-46.6823,23132,86,46,65,8,19,23,39,15,NORMAL
2019-9-23,Vila Mariana,-23.5895,-46.6346,21297,13,60,40,38,43,36,39,36,NORMAL
2018-7-1,Campo Belo,-23.6188,-46.6823,25283,51,9,65,21,21,31,9,23,NORMAL
2018-7-10,Campo Belo,-23.6188,-46.6823,23790,41,14,10,38,34,43,21,35,NORMAL
2018-8-19,Campo Belo,-23.6188,-46.6823,24994,86,45,58,13,7,37,11,2,REABASTECER
2018-9-6,Campo Belo,-23.6188,-46.6823,23413,86,35,9,7,31,21,32,23,REABASTECER
2018-12-26,Campo Belo,-23.6188,-46.6823,26189,79,56,14,39,41,29,14,7,NORMAL
2018-8-10,Brooklin,-23.6263,-46.6878,27771,48,25,6,33,37,37,17,34,REABASTECER
2019-5-16,Campo Belo,-23.6188,-46.6823,25778,17,11,30,6,41,30,27,23,REABASTECER
2019-7-7,Campo Belo,-23.6188,-46.6823,23939,50,35,56,7,9,3,29,41,REABASTECER
2019-3-28,Brooklin,-23.6263,-46.6878,26495,57,12,60,13,24,12,40,43,NORMAL
2019-4-13,Brooklin,-23.6263,-46.6878,28268,86,56,23,40,8,13,8,26,NORMAL
2019-4-23,Brooklin,-23.6263,-46.6878,26966,76,48,38,10,12,19,2,32,NORMAL
2019-5-14,Brooklin,-23.6263,-46.6878,28411,48,47,29,35,6,35,18,28,REABASTECER
2019-9-12,Sé,-23.55,-46.6333,193731,40,10,38,34,20,28,39,10,NORMAL
2019-12-16,Sé,-23.55,-46.6333,192097,9,25,50,14,43,15,39,10,REABASTECER
2018-1-2,Brás,-23.5451,-46.6162,73874,75,60,56,43,38,38,37,37,NORMAL
2018-3-3,Brás,-23.5451,-46.6162,71000,58,43,31,29,11,15,8,37,NORMAL
